
### SETTING ##########################################

row_id,USERID,TIMESTAMP,gender,currentRoutine,DOB,name,length,mass,dbversion,vibration,alarm,timer,sets,targetrep,age,zonedifference,location,use_location,screenon,auto_lock,lastlogs,preloadreps,exp_level,fit_goal,audio_reminder,audio_exercise_tips,audio_personal_tips
768503,541724,"2026-03-16 17:26:15",M,3,1989-01-01,," cm"," kg",,,,90,3,8,23,1,,1,1,1,0,0,2,4,0,0,0


######################################################

### PROFILE ##########################################

row_id,USERID,TIMESTAMP,_id,mydate,weight,fatpercent,chest,arms,waist,calves,height,hips,thighs,shoulders,neck,forearms,logTime
257342367,541724,"2025-12-24 09:07:09",37,2025-11-13,87.85,23,99,35.5,82,36,193,88.5,56,122,36,29,1763065033
257534515,541724,"2025-12-26 10:01:51",38,2025-12-26,85.3,23,99,35.5,82,36,193,88.5,56,122,36,29,1766735848
257925951,541724,"2025-12-29 12:23:20",39,2025-12-29,85.7498,23,99,35.5,82,36,193,88.5,56,122,36,29,1767010722
259523497,541724,"2026-01-07 19:49:07",40,2026-01-07,84.2,23,99,35.5,82,36,193,88.5,56,122,36,29,1767811813
260198711,541724,"2026-01-11 18:16:33",41,2026-01-11,85.6,23,99,35.5,82,36,193,88.5,56,122,36,29,1768154318
260388649,541724,"2026-01-12 19:19:43",42,2026-01-12,83.9,23,99,35.5,82,36,193,88.5,56,122,36,29,1768203881
261272227,541724,"2026-01-17 16:03:50",43,2026-01-13,83.9001,23,99,35.5,82,36,193,88.5,56,122,36,29,1768327013
261272228,541724,"2026-01-17 16:03:50",44,2026-01-17,83.3,23,99,35.5,82,36,193,88.5,56,122,36,29,1768662209
261776267,541724,"2026-01-20 17:37:32",45,2026-01-18,83.2,23,99,35.5,82,36,193,88.5,56,122,36,29,1768752898
261776268,541724,"2026-01-20 17:37:32",46,2026-01-20,83.8,23,99,35.5,82,36,193,88.5,56,122,36,29,1768900025
262887886,541724,"2026-01-26 21:18:37",47,2026-01-26,83,19,99,35.5,82,36,193,88.5,56,122,36,29,1769462317
263074809,541724,"2026-01-27 19:38:22",48,2026-01-27,82.8,19,99,35.5,82,36,193,88.5,56,122,36,29,1769540829
263920397,541724,"2026-02-02 19:16:49",49,2026-01-30,82.1,19,99,35.5,82,36,193,88.5,56,122,36,29,1769759141
263920398,541724,"2026-02-02 19:16:49",50,2026-02-02,81.6,19,99,35.5,82,36,193,88.5,56,122,36,29,1770057212
264061161,541724,"2026-02-03 19:45:40",51,2026-02-03,81.6,19,99,35.5,82,36,193,88.5,56,122,36,29,1770139912
264192529,541724,"2026-02-04 17:54:19",52,2026-02-04,82.2,19,99,35.5,82,36,193,88.5,56,122,36,29,1770222197
